"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"qtd_tarefas_total";"dias_ultima_tarefa";"tarefas_90d";"media_dias_exec";"qtd_tarefas_abertas";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qt_tarefas_bug";"qt_tarefas_reducao";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"perc_tarefas_abertas";"churn"
"36144";"2021-11-22";"0,00";"741,54";"0";"1";"0";"77";"474";"0";"11,6494";"0";"14";"28";"12";"0";"0";"73";"0";"3";"1";"0";"1,3000";"0,0000";"1"
"36158";"2016-11-25";"414,36";"0,00";"1";"0";"0";"5";"216";"0";"4,2000";"0";"3";"3";"2";"0";"0";"5";"0";"0";"0";"0";"0,0000";"0,0000";"0"
"36160";"2016-12-05";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36165";"2016-10-21";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36166";"2016-11-25";"385,12";"0,00";"1";"0";"0";"40";"258";"0";"11,4500";"0";"12";"18";"11";"0";"0";"35";"1";"2";"2";"0";"5,0000";"0,0000";"0"
"36172";"2016-10-20";"0,00";"237,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36177";"2017-01-15";"0,00";"99,00";"0";"1";"0";"1";"2955";"0";"69,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36178";"2016-10-15";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36183";"2016-10-06";"0,00";"365,30";"0";"2";"0";"72";"1227";"0";"13,5833";"0";"17";"36";"13";"0";"0";"68";"0";"1";"3";"0";"4,1700";"0,0000";"1"
"36188";"2016-10-15";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36204";"2016-10-20";"122,82";"0,00";"1";"0";"0";"28";"453";"0";"13,9286";"0";"9";"15";"9";"0";"0";"25";"0";"1";"2";"0";"7,1400";"0,0000";"0"
"36210";"2016-12-05";"2414,52";"0,00";"1";"0";"0";"95";"79";"1";"7,1474";"0";"14";"24";"12";"0";"1";"89";"0";"6";"0";"0";"0,0000";"0,0000";"0"
"36212";"2016-11-18";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"36216";"2016-10-20";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
