"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"tarefas_90d";"qtd_tarefas_total";"media_dias_exec";"qt_tarefas_sd";"media_dias_exec_tarefa_sd";"qt_tarefas_hd";"media_dias_exec_tarefa_hd";"qt_tarefas_reclamacao";"media_dias_exec_reclamacao";"qt_tarefas_reducao";"media_dias_exec_reducao";"qt_tarefas_bug";"media_dias_exec_bug";"dias_ultima_tarefa";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"churn"
"23004";"2013-09-06";"7042,67";"0,00";"2";"0";"0";"25";"271";"20,1293";"12";"19,3333";"156";"2,5000";"3";"49,3333";"2";"29,0000";"26";"26,2000";"0";"28";"78";"15";"235";"8";"14";"14";"0";"5,1700";"0"
"23011";"2013-10-03";"0,00";"204,16";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"383";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"23024";"2017-08-15";"0,00";"237,00";"0";"1";"0";"0";"8";"55,5000";"2";"7,0000";"4";"9,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"6";"1";"4";"8";"0";"0";"0";"0";"0,0000";"1"
"23036";"2016-10-25";"0,00";"99,00";"0";"1";"0";"0";"18";"11,4444";"2";"10,5000";"10";"15,6000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"7";"7";"7";"18";"0";"0";"0";"0";"0,0000";"1"
"23037";"2013-10-10";"0,00";"79,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"910";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"23053";"2017-08-17";"1230,37";"168,00";"1";"1";"1";"0";"64";"7,0781";"5";"6,2000";"34";"3,3235";"0";"0,0000";"0";"0,0000";"1";"12,0000";"107";"19";"31";"14";"59";"3";"2";"0";"0";"0,0000";"0"
"23058";"2013-12-18";"0,00";"847,45";"0";"3";"0";"0";"19";"53,3684";"1";"0,0000";"8";"62,5000";"0";"0,0000";"0";"0,0000";"1";"201,0000";"0";"11";"17";"8";"19";"0";"0";"0";"0";"0,0000";"1"
"23062";"2014-05-01";"3285,13";"0,00";"1";"0";"0";"6";"316";"10,7651";"20";"9,9000";"185";"5,5459";"0";"0,0000";"2";"11,0000";"3";"9,0000";"2";"29";"63";"20";"305";"1";"5";"5";"0";"1,5800";"0"
"23069";"2013-10-21";"0,00";"175,00";"0";"1";"0";"0";"3";"6,3333";"1";"1,0000";"2";"9,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"3";"1";"3";"3";"0";"0";"0";"0";"0,0000";"1"
"23092";"2014-02-11";"0,00";"135,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"23096";"2013-10-15";"116,52";"0,00";"1";"0";"0";"1";"32";"5,1563";"2";"0,0000";"16";"6,5625";"0";"0,0000";"0";"0,0000";"0";"0,0000";"72";"12";"14";"11";"30";"0";"2";"0";"0";"0,0000";"0"
"23099";"2013-10-05";"0,00";"395,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"1208";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"23102";"2014-05-14";"0,00";"358,67";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"1063";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"23116";"2023-11-16";"840,00";"411,21";"1";"1";"1";"0";"21";"5,6667";"0";"0,0000";"9";"0,4444";"0";"0,0000";"0";"0,0000";"0";"0,0000";"105";"9";"14";"8";"21";"0";"0";"0";"0";"0,0000";"0"
"23117";"2020-06-12";"0,00";"253,02";"0";"1";"0";"0";"4";"113,0000";"0";"0,0000";"2";"8,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"4";"4";"3";"4";"0";"0";"0";"0";"0,0000";"1"
"23130";"2018-05-23";"0,00";"1380,00";"0";"1";"0";"0";"42";"44,0238";"2";"38,0000";"19";"10,3684";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"10";"14";"14";"42";"0";"0";"0";"0";"0,0000";"1"
"23137";"2014-12-10";"0,00";"2922,22";"0";"2";"0";"0";"468";"25,4103";"22";"10,9091";"170";"14,9529";"0";"0,0000";"0";"0,0000";"8";"9,6250";"42";"26";"6";"22";"467";"1";"0";"0";"0";"0,0000";"1"
"23140";"2016-01-25";"147,73";"0,00";"1";"0";"0";"0";"48";"8,4375";"7";"11,8571";"23";"8,9130";"0";"0,0000";"0";"0,0000";"0";"0,0000";"465";"10";"6";"12";"48";"0";"0";"0";"0";"0,0000";"0"
"23172";"2018-05-14";"0,00";"576,60";"0";"1";"0";"0";"222";"17,5586";"20";"8,3500";"136";"3,1985";"3";"6,3333";"0";"0,0000";"0";"0,0000";"58";"23";"49";"21";"203";"0";"4";"15";"0";"6,7600";"1"
"23174";"2020-12-15";"622,88";"0,00";"1";"0";"0";"9";"64";"14,8906";"0";"0,0000";"51";"0,8824";"0";"0,0000";"0";"0,0000";"1";"0,0000";"7";"10";"17";"7";"59";"0";"3";"2";"0";"3,1300";"0"
"23180";"2015-07-15";"0,00";"158,00";"0";"1";"0";"0";"11";"16,4545";"0";"0,0000";"9";"16,7778";"0";"0,0000";"0";"0,0000";"0";"0,0000";"416";"4";"1";"3";"11";"0";"0";"0";"0";"0,0000";"1"
"23191";"2014-09-25";"663,55";"0,00";"2";"0";"0";"0";"121";"13,8843";"8";"9,0000";"67";"9,4179";"0";"0,0000";"1";"1,0000";"1";"21,0000";"427";"19";"34";"18";"117";"1";"3";"0";"0";"0,0000";"0"
"23194";"2015-03-05";"0,00";"395,00";"0";"1";"0";"0";"16";"9,1875";"0";"0,0000";"6";"6,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"60";"7";"1";"6";"16";"0";"0";"0";"0";"0,0000";"1"
"23199";"2017-03-30";"0,00";"158,00";"0";"1";"0";"0";"2";"3,0000";"0";"0,0000";"1";"2,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"364";"2";"1";"2";"2";"0";"0";"0";"0";"0,0000";"1"
"23216";"2017-08-25";"3017,78";"0,00";"1";"0";"0";"8";"353";"7,4543";"28";"6,6071";"265";"1,6260";"1";"26,0000";"0";"0,0000";"3";"0,3333";"0";"24";"52";"20";"331";"4";"8";"10";"0";"2,8300";"0"
"23226";"2021-02-26";"0,00";"285,00";"0";"2";"0";"0";"38";"8,6842";"1";"0,0000";"14";"11,7143";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"14";"12";"12";"36";"1";"1";"0";"0";"0,0000";"1"
"23231";"2013-10-11";"0,00";"104,16";"0";"1";"0";"0";"4";"5,0000";"0";"0,0000";"3";"6,6667";"0";"0,0000";"0";"0,0000";"0";"0,0000";"25";"4";"1";"3";"4";"0";"0";"0";"0";"0,0000";"1"
"23243";"2014-04-01";"0,00";"293,65";"0";"1";"0";"0";"11";"61,5455";"0";"0,0000";"5";"13,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"5";"1";"6";"11";"0";"0";"0";"0";"0,0000";"1"
